Comarca,Garantía_juv,Servei_Ocu,Cod_com,Personas,Municipi,Any,Import
Vallès Oriental,N,COOR,41,1,Mollet del Vallès,'16,28000
Baix Llobregat,S,XIMP,11,2,Sant Feliu de Llobregat,'16,64000
Barcelonès,S,DPGJ,13,331,Barcelona,'16,23785.5
Vallès Occidental,N,ARIF,40,125,Sabadell,'16,64850
Vallès Occidental,N,TRFO,40,22,Sant Cugat del Vallès,'16,244966.4
Barcelonès,N,SAC,13,2235,Barcelona,'16,1121310
Vallès Occidental,S,JENP,40,10,Barberà del Vallès,'16,110000
Baix Llobregat,N,IPIS,11,600,Cornellà de Llobregat,'16,244384.84
Vallès Occidental,N,AODL,40,13,Terrassa,'16,349899.24
Vallès Oriental,N,CCFI,41,10,Granollers,'16,8352
Baix Llobregat,N,REEM,11,10,Esplugues de Llobregat,'16,2496.48
Baix Llobregat,N,TRFO,11,8,Esparreguera,'16,85140
Barcelonès,N,PRMI,13,9,Sant Adrià de Besòs,'16,94837.4
Baix Llobregat,N,TB,11,199,Sant Boi de Llobregat,'16,751664.74
Barcelonès,N,DAM,13,105,"Hospitalet de Llobregat, l'",'16,310494
Vallès Occidental,N,FPOS,40,186,Sabadell,'16,69920
Baix Llobregat,N,FOQ,11,15,Vallirana,'16,30757.5
Baix Llobregat,S,SUMA,11,4,Sant Boi de Llobregat,'16,10723.52
Vallès Occidental,N,PIN,40,215,Sabadell,'16,140223.41999999998
Baix Llobregat,N,ARIF,11,125,Viladecans,'16,64850
Vallès Occidental,N,REEM,40,15,Ripollet,'16,3744.72
Baix Llobregat,S,XIMP,11,1,"Prat de Llobregat, el",'16,32000
Barcelonès,N,FEM,13,388,Barcelona,'16,1707200
Vallès Oriental,S,FEM,41,1,Cardedeu,'16,2334.96
Vallès Occidental,N,APRE,40,47,Sabadell,'16,8426.03
Baix Llobregat,S,FEM,11,1,Sant Joan Despí,'16,3834.4500000000003
Barcelonès,S,SUMA,13,100,Santa Coloma de Gramenet,'16,367425
Barcelonès,N,SAC,13,295,Sant Adrià de Besòs,'16,146910
Vallès Occidental,S,JENP,40,12,Ripollet,'16,132000
Baix Llobregat,S,JENP,11,10,Viladecans,'16,110000
Vallès Occidental,N,FOQ,40,765,Sabadell,'16,1718238
Baix Llobregat,N,FOQ,11,45,Sant Andreu de la Barca,'16,132160.5
Baix Llobregat,S,SUMA,11,23,Cornellà de Llobregat,'16,69268.04
Baix Llobregat,N,IPIS,11,300,Sant Vicenç dels Horts,'16,122192.42
Vallès Oriental,S,FEM,41,1,"Ametlla del Vallès, l'",'16,2432.25
Barcelonès,S,FEM,13,30,"Hospitalet de Llobregat, l'",'16,94864.79
Baix Llobregat,N,TRFO,11,47,Sant Feliu de Llobregat,'16,519250
Vallès Occidental,N,PRMI,40,16,Cerdanyola del Vallès,'16,175392
Vallès Occidental,N,PIN,40,40,Sant Cugat del Vallès,'16,109000.05
Baix Llobregat,N,COOR,11,1,Sant Feliu de Llobregat,'16,28000
Baix Llobregat,N,FOQ,11,75,Sant Just Desvern,'16,257184
Baix Llobregat,N,FPOS,11,393,Cornellà de Llobregat,'16,167568
Barcelonès,N,FPOT,13,1286,"Hospitalet de Llobregat, l'",'16,629480
Vallès Oriental,S,JENP,41,5,Cànoves i Samalús,'16,55000
Baix Llobregat,N,TRFO,11,11,Sant Vicenç dels Horts,'16,115287
Baix Llobregat,N,FI45,11,2,Gavà,'16,16659.53
Baix Llobregat,S,FEM,11,17,Sant Feliu de Llobregat,'16,60838.68
Vallès Oriental,N,FI45,41,2,Lliçà de Vall,'16,26741.85
Vallès Oriental,N,TB,41,66,Granollers,'16,244801.16
Barcelonès,N,CIF,13,423,Barcelona,'16,290243.13
Vallès Occidental,S,XIMP,40,1,Sant Cugat del Vallès,'16,32000
Vallès Oriental,S,JENP,41,10,Mollet del Vallès,'16,110000
Baix Llobregat,N,CC,11,30,Molins de Rei,'16,123156
Barcelonès,N,FEM,13,25,Sant Adrià de Besòs,'16,110000
Vallès Occidental,N,SAC,40,120,Sant Cugat del Vallès,'16,59760
Barcelonès,N,TB,13,2199,Barcelona,'16,4254879.79
Barcelonès,S,JENP,13,35,Badalona,'16,385000
Baix Llobregat,N,SAC,11,330,Esplugues de Llobregat,'16,164340
Vallès Occidental,N,FPOS,40,155,Sant Cugat del Vallès,'16,24672
Barcelonès,N,REEM,13,20,Santa Coloma de Gramenet,'16,4992.96
Barcelonès,S,JENP,13,50,Santa Coloma de Gramenet,'16,550000
Vallès Oriental,N,FPOS,41,322,Mollet del Vallès,'16,154660
Barcelonès,N,TRFO,13,89,"Hospitalet de Llobregat, l'",'16,966281.8
Barcelonès,N,PRMI,13,20,"Hospitalet de Llobregat, l'",'16,207860
Vallès Occidental,S,JENP,40,1,Santa Perpètua de Mogoda,'16,11000
Vallès Occidental,N,TB,40,859,Sabadell,'16,2099706.2600000002
Barcelonès,N,REEM,13,210,Barcelona,'16,52426.08
Barcelonès,S,PSGJ,13,50,Badalona,'16,420759.22000000003
Baix Llobregat,N,AODL,11,9,Sant Feliu de Llobregat,'16,243409.94999999998
Vallès Occidental,N,FI45,40,12,Sabadell,'16,68897.14
Vallès Occidental,S,JENP,40,5,Sant Quirze del Vallès,'16,55000
Vallès Occidental,N,COOR,40,4,Terrassa,'16,112000
Vallès Occidental,N,SAC,40,110,Cerdanyola del Vallès,'16,54780
Barcelonès,N,CIF,13,249,Santa Coloma de Gramenet,'16,453394.94
Vallès Occidental,N,FOQ,40,30,Montcada i Reixac,'16,38196
Baix Llobregat,N,PRMI,11,14,Sant Feliu de Llobregat,'16,153939.2
Vallès Occidental,N,PRMI,40,7,Montcada i Reixac,'16,79650.1
Baix Llobregat,N,TB,11,12,"Prat de Llobregat, el",'16,155373.74000000002
Baix Llobregat,N,FPOS,11,22,Martorell,'16,25520
Vallès Oriental,S,FEM,41,10,Granollers,'16,21079.5
