municipio;perc_abst;1rpartit;2npartit;Nom comarca;PSC.perc;Poblacio
El Far d'Empordà;40.3;ERC;JxCat;Alt Empordà;11.07011070110701;602
Alp;40.15;JxCat;ERC;Cerdanya;10.970464135021098;1593
Amer;36.07;JxCat;ERC;Selva;5.729632945389436;2332
Anglès;43.92;JxCat;ERC;Selva;8.633824276282377;5654
Arbúcies;40.57;JxCat;ERC;Selva;7.051016175860639;6608
Argelaguer;36.36;JxCat;CUP-G;Garrotxa;1.9230769230769231;396
L'Armentera;26.45;JxCat;ERC;Alt Empordà;8.541666666666666;951
Avinyonet de Puigventós;43.27;JxCat;ERC;Alt Empordà;12.759643916913946;1641
Begur;43.08;JxCat;ERC;Baix Empordà;20.55485498108449;3891
La Vajol;35.48;JxCat;ERC;Alt Empordà;12.5;89
Banyoles;38.29;JxCat;ERC;Pla de l'Estany;8.31532104259377;20053
Bàscara;35.86;JxCat;ERC;Alt Empordà;8.855291576673865;1001
Bellcaire d'Empordà;31.14;JxCat;ERC;Baix Empordà;10.059171597633137;678
Besalú;34.81;JxCat;ERC;Garrotxa;9.130434782608695;2487
Bescanó;36.97;JxCat;ERC;Gironès;7.3979591836734695;4991
Beuda;34.71;JxCat;CUP-G;Garrotxa;10.526315789473683;186
La Bisbal d'Empordà;44.64;JxCat;ERC;Baix Empordà;14.07979407979408;11159
Blanes;52.06;PSC;ERC;Selva;26.807598039215684;39914
Bolvir;29.25;JxCat;PDeCAT;Cerdanya;10.714285714285714;375
Bordils;29.74;JxCat;CUP-G;Gironès;6.393244873341375;1761
Borrassà;30.53;JxCat;ERC;Alt Empordà;7.936507936507936;733
Breda;40.54;JxCat;ERC;Selva;10.588235294117647;3762
Brunyola;36.86;JxCat;ERC;Selva;2.7777777777777777;389
Boadella i les Escaules;35.98;JxCat;ERC;Alt Empordà;10.948905109489052;272
Cabanes;43.28;JxCat;ERC;Alt Empordà;12.534818941504177;968
Cabanelles;53.61;JxCat;ERC;Alt Empordà;7.792207792207792;267
Cadaqués;48.08;JxCat;ERC;Alt Empordà;13.304252998909488;2695
Caldes de Malavella;51.53;JxCat;ERC;Selva;14.311270125223613;7872
Calonge;48.66;JxCat;ERC;Baix Empordà;16.844349680170577;11331
Camós;26.33;JxCat;ERC;Pla de l'Estany;6.075949367088607;677
Campdevànol;43.55;JxCat;ERC;Ripollès;13.278008298755188;3232
Campelles;35.09;JxCat;ERC;Ripollès;1.36986301369863;140
Campllong;26.05;JxCat;ERC;Gironès;3.717472118959108;537
Camprodon;37.47;JxCat;ERC;Ripollès;13.955726660250239;2298
Canet d'Adri;34.57;JxCat;ERC;Gironès;7.065217391304348;729
Cantallops;38.97;ERC;JxCat;Alt Empordà;11.570247933884298;309
Capmany;37.2;JxCat;ERC;Alt Empordà;9.090909090909092;611
Queralbs;21.25;JxCat;ERC;Ripollès;9.836065573770492;188
Cassà de la Selva;41.13;JxCat;ERC;Gironès;11.29151291512915;10410
Castellfollit de la Roca;40.67;ERC;JxCat;Garrotxa;6.009615384615385;947
Castelló d'Empúries;51.83;JxCat;ERC;Alt Empordà;14.573708525829485;11100
Castell-Platja d'Aro;48.79;JxCat;PSC;Baix Empordà;22.322232223222322;11030
Celrà;37.28;JxCat;CUP-G;Gironès;12.246913580246915;5561
Cervià de Ter;25.7;JxCat;ERC;Gironès;5.220883534136546;966
Cistella;28.02;JxCat;ERC;Alt Empordà;9.45945945945946;282
