codi,Municipi,RBM_pers17,mun,Nom.Municipi,Cens,Votants,perc_participacio,Abstenció,perc_abst,1rpartit,2npartit,3rpartit,4tpartit,Codi comarca,Nom comarca,Vots.valids,PSC,ERC,JxCAT,VOX,CUP,ECP,Cs,PP,PDeCAT,PSC.perc,ERC.perc,JxCAT.perc,VOX.perc,CUP.perc,ECP.perc,Cs.perc,PP.perc,PDeCAT.perc,CodiINE,Poblacio,Hombres,Mujeres
8048,Carme,20145,carme,Carme,574,376,65.51,198,34.49,JxCat,ERC,PSC,CUP-G,6,Anoia,371,36,116,130,7,31,9,9,4,23,9.703504043126685,31.266846361185983,35.04043126684636,1.8867924528301887,8.355795148247978,2.4258760107816713,2.4258760107816713,1.078167115902965,6.199460916442049,80484,785,411,374
8049,Casserres,15037,casserres,Casserres,1308,773,59.1,535,40.9,JxCat,ERC,CUP-G,PSC,14,Berguedà,762,43,206,297,14,110,15,5,13,36,5.6430446194225725,27.034120734908136,38.976377952755904,1.837270341207349,14.435695538057743,1.968503937007874,0.6561679790026247,1.7060367454068242,4.724409448818897,80497,1588,803,785
8050,Castellar del Riu,16766,castellar del riu,Castellar del Riu,130,98,75.38,32,24.62,JxCat,ERC,PDeCAT,CUP-G,14,Berguedà,96,2,20,49,1,10,0,2,0,11,2.083333333333333,20.833333333333336,51.041666666666664,1.0416666666666665,10.416666666666668,0,2.083333333333333,0,11.458333333333332,80500,176,99,77
8051,Castellar del Vallès,16609,castellar del vallès,Castellar del Vallès,18928,10459,55.26,8469,44.74,ERC,JxCat,PSC,VOX,40,Vallès Occidental,10277,2239,2550,2261,700,666,679,500,258,219,21.786513574000193,24.81268852778048,22.000583827965357,6.811326262527976,6.480490415490903,6.606986474652136,4.86523304466284,2.510460251046025,2.1309720735623237,80517,24488,12089,12399
8052,Castellar de n'Hug,13364,castellar de n'hug,Castellar de n'Hug,142,101,71.13,41,28.87,JxCat,ERC,PDeCAT,PSC,14,Berguedà,97,7,21,47,2,1,2,0,0,14,7.216494845360824,21.649484536082475,48.45360824742268,2.0618556701030926,1.0309278350515463,2.0618556701030926,0,0,14.432989690721648,80522,156,84,72
8053,Castellbell i el Vilar,13573,castellbell i el vilar,Castellbell i el Vilar,2949,1364,46.25,1585,53.75,ERC,JxCat,PSC,VOX,7,Bages,1342,271,363,296,130,76,64,36,24,43,20.193740685543965,27.049180327868854,22.056631892697467,9.687034277198212,5.663189269746647,4.769001490312966,2.682563338301043,1.7883755588673622,3.2041728763040243,80538,3719,1901,1818
8054,Castellbisbal,16158,castellbisbal,Castellbisbal,9346,5010,53.61,4336,46.39,PSC,ERC,JxCat,VOX,40,Vallès Occidental,4928,1195,1096,779,478,327,386,347,138,66,24.24918831168831,22.24025974025974,15.807629870129869,9.699675324675324,6.6355519480519485,7.832792207792208,7.041396103896104,2.800324675324675,1.3392857142857142,80543,12539,6307,6232
8055,Castellcir,16299,castellcir,Castellcir,542,340,62.73,202,37.27,ERC,JxCat,CUP-G,PSC,42,Moianès,335,20,112,85,17,53,17,6,0,7,5.970149253731343,33.43283582089553,25.37313432835821,5.074626865671641,15.82089552238806,5.074626865671641,1.791044776119403,0,2.0895522388059704,80556,742,397,345
8056,Castelldefels,22339,castelldefels,Castelldefels,42966,22404,52.14,20562,47.86,PSC,ERC,VOX,JxCat,11,Baix Llobregat,22130,6393,3861,2275,2472,707,1665,2099,1661,471,28.888386805241755,17.44690465431541,10.280162675101671,11.170356981473113,3.194758246723904,7.5237234523271574,9.484862178038862,7.505648441030275,2.128332580207863,80569,67460,33162,34298
8057,Castell de l'Areny,.,castell de l'areny,Castell de l'Areny,62,45,72.58,17,27.42,JxCat,ERC,CUP-G,ECP-PEC,14,Berguedà,44,1,9,18,0,6,4,0,1,4,2.272727272727273,20.454545454545457,40.909090909090914,0,13.636363636363635,9.090909090909092,0,2.272727272727273,9.090909090909092,80575,67,37,30
8058,Castellet i la Gornal,14005,castellet i la gornal,Castellet i la Gornal,1860,924,49.68,936,50.32,ERC,PSC,JxCat,VOX,3,Alt Penedès,908,205,239,160,75,63,66,41,13,26,22.577092511013216,26.3215859030837,17.62114537444934,8.259911894273127,6.938325991189427,7.268722466960352,4.5154185022026425,1.4317180616740088,2.8634361233480177,80581,2382,1239,1143
8059,Castellfollit del Boix,15017,castellfollit del boix,Castellfollit del Boix,353,222,62.89,131,37.11,JxCat,ERC,CUP-G,PSC,7,Bages,217,12,54,79,1,43,5,4,3,10,5.529953917050691,24.88479262672811,36.405529953917046,0.4608294930875576,19.81566820276498,2.3041474654377883,1.8433179723502304,1.3824884792626728,4.6082949308755765,80594,447,228,219
8060,Castellfollit de Riubregós,15678,castellfollit de riubregós,Castellfollit de Riubregós,138,106,76.81,32,23.19,JxCat,ERC,CUP-G,PSC,6,Anoia,102,10,14,47,2,11,3,1,4,8,9.803921568627452,13.725490196078432,46.07843137254902,1.9607843137254901,10.784313725490197,2.941176470588235,0.9803921568627451,3.9215686274509802,7.8431372549019605,80608,162,91,71
8061,Castellgalí,15104,castellgalí,Castellgalí,1671,824,49.31,847,50.69,PSC,ERC,JxCat,VOX,7,Bages,814,190,186,156,77,41,55,31,28,28,23.34152334152334,22.85012285012285,19.164619164619165,9.45945945945946,5.036855036855037,6.756756756756757,3.8083538083538087,3.43980343980344,3.43980343980344,80615,2119,1102,1017
8062,Castellnou de Bages,17141,castellnou de bages,Castellnou de Bages,1044,674,64.56,370,35.44,JxCat,ERC,PSC,CUP-G,7,Bages,664,88,178,190,39,61,26,34,14,23,13.253012048192772,26.80722891566265,28.614457831325304,5.873493975903615,9.186746987951807,3.91566265060241,5.120481927710843,2.108433734939759,3.463855421686747,80620,1437,770,667
8063,Castellolí,19262,castellolí,Castellolí,490,364,74.29,126,25.71,ERC,JxCat,PDeCAT,CUP-G,6,Anoia,358,27,122,116,5,29,10,8,3,31,7.5418994413407825,34.07821229050279,32.402234636871505,1.3966480446927374,8.100558659217876,2.793296089385475,2.2346368715083798,0.8379888268156425,8.659217877094973,80636,626,302,324
8064,Castellterçol,15791,castellterçol,Castellterçol,1997,1200,60.09,797,39.91,JxCat,ERC,PSC,CUP-G,42,Moianès,1174,135,334,396,33,112,50,19,14,56,11.499148211243613,28.449744463373083,33.73083475298126,2.810902896081772,9.540034071550256,4.258943781942079,1.6183986371379897,1.192504258943782,4.770017035775128,80641,2548,1275,1273
